ref,name,official_name,distance
Т-02-33,Вапнярка – Крижопіль – Піщанка – контрольно-пропускний пункт “Загнітків”,Вапнярка — Крижопіль — Піщанка — контрольно-пропускний пункт “Загнітків”,53.4
Т-02-40,Р-08 – Ямпіль – Т-02-02,/Р-08/ — Ямпіль  — /Т-02-02/,3.1
Т-03-01,Залісся – Т-03-02,Залісся — /Т-03-02/,13.2
Т-03-02,Піща – Шацьк – Любомль – Володимир – Павлівка – Горохів – Берестечко – Козин – М-06,Піща — Шацьк — Любомль — Володимир — Павлівка — Горохів — Берестечко — Козин —     /М-06/,209.6
Т-03-03,Луцьк – Радомишль – Демидівка – Дубно,Луцьк —  Радомишль —  Демидівка —  Дубно,70.8
Т-03-04,М-19 – Доманове – Самари – Залухів – Мала Глуша – Т-03-08 – Невір – Ветли – Р-14,/М-19/ — Доманове — Самари  — Залухів — Мала Глуша — /Т-03-08/ — Невір — Ветли — /Р-14/,113.5
Т-03-05,Нововолинськ – Іваничі – Павлівка – Локачі,Нововолинськ — Іваничі — Павлівка — Локачі,42
Т-03-06,Т-03-02 – Шацьк – Вілиця – Прип’ять – Любохини – Т-03-08,/Т-03-02/ — Шацьк — Вілиця — Прип’ять — Любохини — /Т-03-08/,22.5
Т-03-07,Контрольно-пропускний пункт “Пулемець” – контрольно-пропускний пункт “Піща”,Контрольно-пропускний пункт “Пулемець” — контрольно-пропускний пункт “Піща”,18.9
Т-03-08,Любомль – Дубечне – Здомишель – Ратне – Камінь-Каширський – Любешів – Р-14,Любомль — Дубечне — Здомишель — Ратне — Камінь-Каширський — Любешів — /Р-14/,142.6
Т-03-09,Т-03-08 – Дубечне – Стара Вижівка – М-07 – Турійськ – Рожище – Ківерці – Піддубці – Н-22,/Т-03-08/ — Дубечне — Стара Вижівка — /М-07/ — Турійськ — Рожище — Ківерці — Піддубці — /Н-22/,149.7
Т-03-10,Стара Вижівка – Буцинь – М-19,Стара Вижівка — Буцинь — /М-19/,13.1
Т-03-11,Р-14 – Седлище – Камінь-Каширський – Ковель – М-19 – Колодяжне – Локачі – Н-17,/Р-14/ — Седлище — Камінь-Каширський — Ковель — /М-19/ — Колодяжне — Локачі — /Н-17/,161.8
Т-03-12,Р-14 – Журавичі – Берестяне – Цумань – Н-22,/Р-14/ — Журавичі — Берестяне — Цумань — /Н-22/,41
Т-04-02,Ігрень (м. Дніпро) – Олександрівка – М-18,Ігрень (м. Дніпро) — Олександрівка — /М-18/,12.9
Т-04-03,Мар’янське – Берислав – Р-47,Мар’янське — Берислав — /Р-47/,103.8
Т-04-04,Дніпро – Обухівка – Т-04-05,Дніпро —  Обухівка — /Т-04-05/,18.1
Т-04-05,Дніпро – Хутірське,Дніпро — Хутірське,34.3
Т-04-06,Григорівка – Межова – Покровськ,Григорівка — Межова — Покровськ,94.4
Т-04-07,П’ятихатки – Кривий Ріг,П’ятихатки  — Кривий Ріг,33.9
Т-04-08,Павлоград – Васильківка – Новомиколаївка – Оріхів – Токмак,Павлоград — Васильківка — Новомиколаївка — Оріхів — Токмак,145.4
Т-04-10,Кам’янське – Миколаївка – Солоне – Н-08,Кам’янське — Миколаївка — Солоне — /Н-08/,49.2
Т-04-11,Широке – Олександрівка – Н-23,Широке — Олександрівка — /Н-23/,25.9
Т-04-12,Кам’янське – Шульгівка – Михайлівка – Котовка – Перещепине – Чернявщина – Жемчужне,Кам’янське — Шульгівка — Михайлівка — Котовка — Перещепине — Чернявщина — Жемчужне,197.7
Т-04-13,Царичанка – Магдалинівка – Губиниха,Царичанка — Магдалинівка — Губиниха,68.9
Т-04-14,Кам’янське – Петриківка – Магдалинівка,Кам’янське — Петриківка — Магдалинівка,46.8
Т-04-15,Верхньодніпровськ – Вільногірськ – М-30,Верхньодніпровськ — Вільногірськ — /М-30/,44.6
Т-04-16,Павлоград – Синельникове,Павлоград — Синельникове,25
Т-04-20,Одарівка – Томаківка – Вищетарасівка,Одарівка — Томаківка — Вищетарасівка,108.6
Т-04-21,Дніпро – Новомиколаївка – М-30,Дніпро — Новомиколаївка — /М-30/,24.6
Т-04-22,Павлоград – Надеждівка – Голубівка,Павлоград — Надеждівка — Голубівка,57.9
Т-04-23,Мишурин Ріг – Вільногірськ,Мишурин Ріг — Вільногірськ,46.3
Т-04-24,Веселе – Олександропіль – Петропавлівка – М-30,Веселе — Олександропіль — Петропавлівка —            /М-30/,23.9
Т-04-25,М-30 – Підпільне – Дерезувате – Синельникове,/М-30/— Підпільне — Дерезувате — Синельникове,34.4
Т-04-26,М-30 – Козачий Гай,/М-30/— Козачий Гай,21.5
Т-04-27,Дмитрівка – Зелений Гай – Гаврилівка,Дмитрівка — Зелений Гай — Гаврилівка,52.8
Т-04-28,Слов’янка – Межова – Дачне,Слов’янка — Межова — Дачне,46.4
Т-04-29,Станція Верхньодніпровськ – Верхівцеве – Божедарівка,Станція Верхньодніпровськ — Верхівцеве — Божедарівка,33.4
Т-04-30,Кам’янське – Світлогірське,Кам’янське — Світлогірське,17.5
Т-04-31,Першотравенськ – Васильківське – Володимирівка – Солоне,Першотравенськ — Васильківське — Володимирівка — Солоне,23.2
Т-04-32,Божедарівка – Малософіївка – Нікополь,Божедарівка — Малософіївка — Нікополь,105.1
Т-04-33,Божедарівка – Болтишка – Малософіївка,Божедарівка — Болтишка — Малософіївка,22.3
Т-04-34,Ордо-Василівка – Сергіївка – Веселі Терни – Н-11,Ордо-Василівка — Сергіївка — Веселі Терни —  /Н-11/,33.6
Т-04-35,Т-04-32 – Новоіванівка – Марганець – Вищетарасівка,/Т-04-32/— Новоіванівка — Марганець — Вищетарасівка,70.9
Т-04-36,Н-23 – Покровське – Капулівка – Н-23,/Н-23/— Покровське — Капулівка — /Н-23/,16.8
Т-04-37,Верхньодніпровськ – Н-08,Верхньодніпровськ — /Н-08/,2.4
Т-04-39,Кринички – М-30,Кринички — /М-30/,4
