ref,official_name,name,distance,district,localities
О-02-21-11,Шпиків – Сліди - Нове Місто,Шпиків – Сліди – Нове Місто,19.01,Тульчинський – Вінницький район,"Шпиківська селищна,
Тиврівська селищна"
О-02-21-12,Шпиків - Тульчин,Шпиків – Тульчин,24.381,Тульчинський район,"Шпиківська селищна,
Тульчинська міська"
С-02-21-01,Печера - Забужжя,Печера – Забужжя,2.411,Тульчинський район,Шпиківська селищна
С-02-21-02,(Тульчин – Тростянець –Бершадь) - Кирнасівка,Т-02-22 – Кирнасівка,3.0,Тульчинський район,Тульчинська міська
С-02-21-03,Суворівське - Хутір Пестеля,Суворівське – Хутір Пестеля,6.229,Тульчинський район,Тульчинська міська
С-02-21-04,Гути - Василівка,Гути – Василівка,11.774,Тульчинський - Гайсинський район,"Тульчинська міська,
Ладижинська міська"
С-02-21-05,Білоусівка - Василівка,Білоусівка – Василівка,9.4,Тульчинський - Гайсинський район,"Тульчинська міська,
Ладижинська міська"
С-02-21-06,Шпиків - Шпиківка,Шпиків – Шпиківка,3.685,Тульчинський район,Шпиківська селищна
С-02-21-07,Копіївка - Гуральня,Копіївка – Гуральня,2.0,Тульчинський район,Тульчинська міська
С-02-21-08,(Тульчин – Тиманівка –Марківка) - Тиманівка,О-02-21-02 – Тиманівка,1.6,Тульчинський район,Тульчинська міська
С-02-21-09,Клебань - Гути,Клебань – Гути,1.0,Тульчинський район,Тульчинська міська
С-02-21-10,(Тульчин - Клебань-Ладижин) - Федьківка,О-02-21-03 – Федьківка,7.0,Тульчинський район,Тульчинська міська
С-02-21-11,(Тульчин – Клебань -Ладижин) - Улянівка,О-02-21-03 – Улянівка,3.0,Тульчинський район,Тульчинська міська
С-02-21-12,Богданівка -Тростянчик,Богданівка – Тростянчик,1.665,Тульчинський район,Тульчинська міська
С-02-21-13,(Немирів – Ямпіль) -Капки,Р-08 – Капки,2.5,Тульчинський район,Тульчинська міська
С-02-21-14,Шпиків – Сільниця -Юрківка,Шпиків – Сільниця – Юрківка,16.783,Тульчинський район,"Шпиківська селищна,
Тульчинська міська"
С-02-21-15,(Немирів - Могилів-Подільський) - Печера,Р-36 – Печера,2.0,Тульчинський район,Шпиківська селищна
С-02-21-16,(Немирів – Могилів–Подільський) - Даньківка,Р-36 – Даньківка,2.8,Тульчинський район,Шпиківська селищна
С-02-21-17,(Немирів – Могилів-Подільський) -Петрашівка,Р-36 – Петрашівка,0.741,Тульчинський район,Шпиківська селищна
С-02-21-18,Копіївка - Шура Копіївська,Копіївка – Шура Копіївська,7.4,Тульчинський район,Тульчинська міська
С-02-21-19,Мазурівка - Завалля,Мазурівка – Завалля,2.6,Тульчинський район,Тульчинська міська
С-02-21-20,(Тульчин –Тростянець –Бершадь) - Ганнопіль,Т-02-22 – Ганнопіль,5.552,Тульчинський район,Тульчинська міська
С-02-21-21,(Немирів – Ямпіль) -Крищинці,Р-08 – Крищинці,2.817,Тульчинський район,Тульчинська міська
С-02-21-22,(Немирів – Ямпіль) -Суворівське,Р-08 – Суворівське,5.1,Тульчинський район,Тульчинська міська
С-02-21-23,(Немирів – Ямпіль) -Журавлівка,Р-08 – Журавлівка,4.2,Тульчинський район,Тульчинська міська
С-02-21-24,(Немирів – Ямпіль) -станція Журавлівка,Р-08 – станція Журавлівка,0.704,Тульчинський район,Тульчинська міська
С-02-21-25,Холодівка -Тиманівка,Холодівка – Тиманівка,22.95,Тульчинський район,Тульчинська міська
С-02-21-26,(Тульчин – Клебань -Ладижин) - Білоусівка,О-02-21-03 – Білоусівка,5.5,Тульчинський район,Тульчинська міська
С-02-21-27,Кирнасівка - Богданівка,Кирнасівка – Богданівка,11.237,Тульчинський район,Тульчинська міська
С-02-21-28,Заозерне - Веселівка,Заозерне – Веселівка,5.1,Гайсинський район,Ладижинська міська
С-02-21-29,Копіївка - Сільниця,Копіївка – Сільниця,7.723,Тульчинський район,Тульчинська міська
О-02-22-01,Тиврів - Канава,Тиврів – Канава,15.416,Вінницький район,Тиврівська селищна
О-02-22-05,Нове Місто - Деребчин,Нове Місто – Деребчин,14.26,Вінницький – Тульчинський – Жмеринський район,"Тиврівська селищна,
Шпиківська селищна,
Джуринська сільська"
О-02-22-06,Онитківці – Красне -Грижинці,Онитківці – Красне – Грижинці,36.85,Вінницький район,"Тиврівська селищна,
Гніванська міська"
О-02-22-07,Рахни Польові – Бушинка - межа району,Рахни Польові – Бушинка – межа району,15.173,Вінницький –Тульчинський район,"Тиврівська селищна,
Шпиківська селищна"
С-02-22-01,Колюхів - Соколинці,Колюхів – Соколинці,3.2,Вінницький район,Тиврівська селищна
С-02-22-02,(Браїлів – Рижавка –Тиврів) - Борсків,О-02-06-03 – Борсків,1.097,Вінницький район,Гніванська міська
С-02-22-03,Василівка - Курники,Василівка – Курники,2.158,Вінницький район,Тиврівська селищна
С-02-22-04,Василівка - Майдан,Василівка – Майдан,1.96,Вінницький район,Тиврівська селищна
С-02-22-05,Селище – Лани -Студениця,Селище – Лани – Студениця,9.03,Вінницький район,"Гніванська міська,
Лука-Мелешківська сільська"
С-02-22-06,(Вороновиця – Тиврів – Шаргород) - Іскрівка,О-02-03-05 – Іскрівка,4.7,Вінницький район,Тиврівська селищна
С-02-22-07,Довгополівка - Кліщів,Довгополівка – Кліщів,4.02,Вінницький район,Вороновицька селищна
С-02-22-08,Мала Вулига - Польова Слобідка,Мала Вулига – Польова Слобідка,5.9,Тульчинський район,Шпиківська селищна
С-02-22-09,Тиврів - Гута-Шершнівська,Тиврів – Гута-Шершнівська,3.5,Вінницький район,"Тиврівська селищна,
Сутисківська селищна"
С-02-22-10,Шершні - Василівка,Шершні – Василівка,6.006,Вінницький район,"Сутисківська селищна,
Тиврівська селищна"
С-02-22-11,Селище - Яришівка,Селище – Яришівка,12.415,Вінницький район,"Гніванська міська,
Лука-Мелешківська сільська"
С-02-22-12,Пилява – Федорівка -Кальнишівка,Пилява – Федорівка – Кальнишівка,12.337,Вінницький район,"Лука-Мелешківська сільська, Вороновицька селищна"
С-02-22-13,Строїнці – Дубина -Круги,Строїнці – Дубина – Круги,12.84,Вінницький район,Тиврівська селищна
С-02-22-14,Кобелецьке – Гришівці –Черемошне - Пирогів,Кобелецьке – Гришівці – Черемошне – Пирогів,18.3,Вінницький район,Тиврівська селищна
С-02-22-15,Потуш - Тростянець,Потуш – Тростянець,13.001,Вінницький район,Вороновицька селищна
С-02-22-16,Рогізна - Велика Вулига - Рахни Польові,Рогізна – Велика Вулига – Рахни Польові,13.255,Вінницький - Тульчинський район,"Тиврівська селищна,
Шпиківська селищна"
О-02-23-01,Стара Гута – Калинівка - Турбів,Стара Гута – Калинівка – Турбів,67.081,Хмільницький - Вінницький район,"Хмільницька міська,
Іванівська сільська,
Калинівська міська,
Турбівська селищна"
О-02-23-02,Петриківці –Колибабинці – Уладівка - Іванів,Петриківці – Колибабинці – Уладівка – Іванів,40.727,Хмільницький район,"Уланівська сільська,
Хмільницька міська,
Іванівська сільська"
О-02-23-03,Границя Хмельницької області - Слобода Кустовецька,Границя Хмельницької області – Слобода Кустовецька,62.932,Хмільницький район,"Хмільницька міська,
Війтівецька сільська,
Уланівська сільська"
О-02-23-04,Куманівці - Уладівка,Куманівці – Уладівка,32.216,Хмільницький район,"Хмільницька міська,
Іванівська сільська"
О-02-23-05,Хмільник - Війтівці,Хмільник – Війтівці,8.412,Хмільницький район,"Хмільницька міська,
Війтівецька сільська"
О-02-23-06,Хмільник – Лозова -Гулі,Хмільник – Лозова – Гулі,16.235,Хмільницький район,Хмільницька міська
О-02-23-07,"Рогинці – Корделівка – Дружне, в т.ч. Під’їзд до с. Антонопіль","Рогинці – Корделівка – Дружне, в т.ч. Під’їзд до с. Антонопіль",49.799,Хмільницький район,"Уланівська сільська,
Калинівська міська"
С-02-23-01,(Любар – Хмільник -Нова Ушиця) - Лисогірка,Т-06-10 – Лисогірка,1.02,Хмільницький район,Війтівецька сільська
С-02-23-02,Мар`янівка - Володимирівка,Мар`янівка – Володимирівка,8.0,Хмільницький район,Війтівецька сільська
С-02-23-03,(Качанівка –Терешпіль) -Українське,С-02-23-19 – Українське,2.0,Хмільницький район,Війтівецька сільська
С-02-23-04,Сальниця - Гнатівка,Сальниця – Гнатівка,4.883,Хмільницький район,Уланівська сільська
С-02-23-05,Уланів – Морозівка -Лип`ятин,Уланів – Морозівка – Лип`ятин,4.587,Хмільницький район,Уланівська сільська
С-02-23-06,(Бердичів – Хмільник – Літин) - Подорожня,Р-31 – Подорожня,2.28,Хмільницький район,Уланівська сільська
С-02-23-07,Кропивна - Клітенка,Кропивна – Клітенка,7.525,Хмільницький район,Уланівська сільська
С-02-23-08,Червоний Степ –Вишенька - Малий Острожок,Червоний Степ – Вишенька – Малий Острожок,7.358,Хмільницький район,Уланівська сільська
С-02-23-09,Крижанівка - Осична,Крижанівка – Осична,1.305,Хмільницький район,Уланівська сільська
С-02-23-10,(Бердичів – Хмільник – Літин) - Філіопіль,Р-31 – Філіопіль,1.71,Хмільницький район,Хмільницька міська
С-02-23-11,Чеснівка - Сміла,Чеснівка – Сміла,1.66,Хмільницький район,Уланівська сільська
С-02-23-12,Петриківці - Сміла,Петриківці – Сміла,5.836,Хмільницький район,Уланівська сільська
С-02-23-13,Ольгине – Березна -Чудинівці,Ольгине – Березна – Чудинівці,11.32,Хмільницький район,"Війтівецька сільська,
Хмільницька міська"
С-02-23-14,(Куманівці – Уладівка) - Крупин,О-02-23-04 – Крупин,3.038,Хмільницький район,Хмільницька міська
С-02-23-15,Хмільник - Чудинівці,Хмільник – Чудинівці,10.25,Хмільницький район,Хмільницька міська
С-02-23-16,(Хмільник – Лозова –Гулі) - Педоси,О-02-23-06 – Педоси,1.785,Хмільницький район,Хмільницька міська
С-02-23-17,Хмільник - Будків,Хмільник – Будків,1.006,Хмільницький район,Хмільницька міська
С-02-23-18,(Хмільник – Війтівці) - Дібрівка,О-02-23-05 – Дібрівка,1.73,Хмільницький район,Війтівецька сільська
С-02-23-19,Терешпіль - Держанівка,Терешпіль – Держанівка,1.248,Хмільницький район,Війтівецька сільська
С-02-23-20,(Куманівці - Слобода Кустовецька) - Дубина,О-02-23-03 – Дубина,1.0,Хмільницький район,Уланівська сільська
С-02-23-21,Кушелівка - Великий Митник,Кушелівка – Великий Митник,6.305,Хмільницький район,Хмільницька міська
С-02-23-22,Сьомаки - Сербанівка,Сьомаки – Сербанівка,2.845,Хмільницький район,Хмільницька міська
С-02-23-23,Торчин – Сулківка -Володимирівка,Торчин – Сулківка – Володимирівка,11.057,Хмільницький район,Війтівецька сільська
