ref,official_name,name,distance
С041610,Троїцьке – Мажари – Шевченківське,Троїцьке – Мажари – Шевченківське,9.45
С041611,Калинівське – /Синельникове – Миролюбівка – Терса/,Калинівське – С041611,1.5
С041612,Садове – Гострий Камінь,Садове – Гострий Камінь,8.8
С041613,Луб’янка – Вишневецьке,Луб’янка – Вишневецьке,3.96
С041614,Дніпровське – Котлярівське,Дніпровське – Котлярівське,4.412
С041615,Заяче – Терса – Партизани – Новий Посьолок,Заяче – Терса – Партизани – Новий Посьолок,14.605
С041616,Майське – Нове,Майське – Нове,3.47
С041617,/Дороге – Дерезувате/ – Широкосмоленка – Лугове,О041610 – Широкосмоленка – Лугове,5.39
С041618,Тернове – /Т-04-16/,Тернове – Т-04-16,1.628
С041619,/Т-04-16/ – Красне,Т-04-16 – Красне,1.542
С041620,//М-04/ – Козачий Гай/ – Романівка – /Т-04-16/,Т-04-26 – Романівка – Т-04-16,7.012
С041621,Зайцеве – Калинівка,Зайцеве – Калинівка,3.4
С041622,Новопавлоградське – Старовишневецьке,Новопавлоградське – Старовишневецьке,8.712
С041623,Богуславка – /Т-04-01/,Богуславка – Т-04-01,06.06
С041624,/Т-04-01/ – Мар’ївка – Раково,Т-04-01 – Мар’ївка – Раково,14.51
С041625,/Т-04-01/ – Роздори,Т-04-01 – Роздори,1.64
С041626,//Т-04-08/ – Мар’ївка/ – Писарівка,С041626 – Писарівка,3.6
С041627,/Діброва – /М-18// – Воронівка,О041605 – Воронівка,4.53
С041628,/Синельникове – Запорожець/ – Панасівка,С041628 – Панасівка,2.7
С041629,Панасівка – /Дубо-Осокорівка – станція Івківка/,Панасівка – С041629,2.755
С041630,Березнуватка – /Синельникове – Миролюбівка – Терса/,Березнуватка – С041630,2.435
С041631,/Веселе – Олександропіль – Петропавлівка/ – Самарське,Грякувате – О041606,2.95
С041632,Новоолександрівка – Гірки,Новоолександрівка – Гірки,2.9
С041633,Володимирівське – /Василівка-на-Дніпрі – Гірки – Бурханівка – /Синельникове – Славгород//,Володимирівське – О041606,2.95
С041634,Василівка – Михайлівка,Василівка – Михайлівка,2.6
С041635,/Дніпровське – Котлярівське/ – Рудево-Миколаївка,С041614 – Рудево-Миколаївка,3.2
С041636,Варварівка – Зелене,Варварівка – Зелене,1.7
С041637,Ненаситець – Воронове,Ненаситець – Воронове,6
С041638,Новоолександропіль – /Синельникове – Славгород/,Новоолександропіль – Т-04-45,4.98
С041639,Новоолександрівське –Тургенєвка,Новоолександрівське – Тургенєвка,5.57
С041640,/Синельникове – Славгород/ – Польове,Т-04-45 – Польове,4.57
С041641,Під’їзд до с. Морозівське,Під’їзд до с. Морозівське,2.25
С041642,Під’їзд до с. Георгіївка,Під’їзд до с. Георгіївка,0.8
С041643,Під’їзд до с. Новоолександрівка,Під’їзд до с. Новоолександрівка,3.932
С041644,Під’їзд до с. Новомиколаївка,Під’їзд до с. Новомиколаївка,2.425
С041645,Під’їзд до с. Очеретувате,Під’їзд до с. Очеретувате,0.9
С041646,Під’їзд до с. Пристень,Під’їзд до с. Пристень,1
С041647,Під’їзд до с. Павлівка,Під’їзд до с. Павлівка,1.1
С041648,Під’їзд до с. Мар’ївка,Під’їзд до с. Мар’ївка,1.8
С041649,Шахтарське – Мар’ївка,Шахтарське – Мар’ївка,1.26
С041701,Солоне – Гончарка,Солоне – Гончарка,4.346
С041702,Іверське – Осипенко,Іверське – Осипенко,9.9
