uid,ref,name,official_name,distance,district
574681768,О101804,Поліське – Млачівка – Стещина,ПОЛIСЬКЕ - СТЕЩИНА ЧЕРЕЗ МЛАЧIВКУ,29.9,Поліський район
574681769,О101805,Максимовичі – Вовчків,МАКСИМОВИЧІ - ВОВЧКIВ,13.9,Поліський район
574682727,О101902,Рокитне – Синява – Бушеве,РОКИТНЕ-СИНЯВА-БУШЕВЕ,14.0,Рокитнянський район
574682729,О101904,Рокитне – Миронівка – Ольшаниця – Рокитне – Р-04,РОКИТНЕ-/МИРОНІВКА-ОЛЬШАНИЦЯ-РОКИТНЕ-/Р-04/,1.1,Рокитнянський район
574682730,О101905,Рокитне – Піщане,РОКИТНЕ-ПIЩАНЕ,2.0,Рокитнянський район
574682731,О101906,Рокитне – Рокитне – Узин,РОКИТНЕ-/РОКИТНЕ-УЗИН/,3.8,Рокитнянський район
574682732,О101907,Бирюки – Острів,БИРЮКИ - ОСТРIВ,11.2,Рокитнянський район
574682733,О101908,Рокитне – Салиха – Р-04,РОКИТНЕ - САЛИХА - /КИЇВ - ФАСТIВ - БІЛА ЦЕРКВА-ТАРАЩА -ЗВЕНИГОРОДКА/,6.8,"Рокитнянський район,Таращанський район"
574682734,О101909,Клочки – Бирюки,КЛОЧКИ-БИРЮКИ,1.5,Рокитнянський район
574682757,О101911,Миронівка – Ольшаниця – Рокитне – Р-04 – Станція Рокитне,/МИРОНІВКА-ОЛЬШАНИЦЯ-РОКИТНЕ-/Р-04/ - СТАНЦІЯ РОКИТНЕ,1.0,Рокитнянський район
574682758,О101912,Телешівка – Землянка,ТЕЛЕШIВКА - ЗЕМЛЯНКА,9.6,"Кагарлицький район,Рокитнянський район"
574682759,О101913,Телешівка – Ольшаниця – Тараща,ТЕЛЕШІВКА-ОЛЬШАНИЦЯ-ТАРАЩА,32.8,"Рокитнянський район,Таращанський район"
574682760,О101914,Р-04 – Плоске,/Р-04/ - ПЛОСКЕ,26.0,"Рокитнянський район,Таращанський район"
574682762,О101916,Рокитне – Стави,РОКИТНЕ-СТАВИ,20.5,Рокитнянський район
