ref,official_name,name,distance,district
С141026,Крукеничі-Вишенька,Крукеничі – Вишенька,5.9,Яворівський район
С140340,Комарно-Тулиголове,Комарно – Тулиголове,4.4,Львівський район
С140139,Підкамінь-Чепелі,Підкамінь – Чепелі,13.6,Золочівський район
С141715,Тиха-Лаврів,Тиха – Лаврів,13.4,Самбірський район
С141228,Об'їзд м.Пустомити,Об'їзд м.Пустомити,2.4,Львівський район
С141125,Сивороги-Коросно,Сивороги – Коросно,5.7,Львівський район
О141001,Судова Вишня-Комарно,Судова Вишня – Комарно,40.9,Львівський район;Самбірський район;Яворівський район
С140616,Любеля-Крехів,Любеля – Крехів,18.3,Львівський район
С141945,(Львів-Ужгород)-Яворів,Н-13 – Яворів,1.0,Самбірський район
С141836,Хромогорб-Любинці,Хромогорб – Любинці,2.9,Стрийський район
С140130,Гаї-Дітковецькі-Соколівка,Гаї – Дітковецькі – Соколівка,1.1,Золочівський район
О141605,Белз-Великі Мости,Белз – Великі Мости,17.9,Червоноградський район
С140715,Ремезівці-Бібщани,Ремезівці – Бібщани,12.5,Золочівський район
С140244,Ожидів-Петричі,Ожидів – Петричі,9.9,Золочівський район
С141511,Верхнє Синьовидне-Дубина-Кам'янка,Верхнє Синьовидне – Дубина – Кам'янка,15.4,Стрийський район
С140904,Криниця-Більче-Волиця,Криниця – Більче – Волиця,11.3,Стрийський район
С141638,Свитязі-Равщина,Свитязі – Равщина,3.4,Червоноградський район
С141248,Малечковичі-Нагоряни,Малечковичі – Нагоряни,2.2,Львівський район
С140129,Паньківці-Підкамінь,Паньківці – Підкамінь,3.8,Золочівський район
С141741,(Львів-Ужгород)-Мала Волосянка,Н-13 – Мала Волосянка,0.8,Самбірський район
С140644,Любеля-Соснина,Любеля – Соснина,2.5,Львівський район
С141631,Трудолюбівка-Теляж,Трудолюбівка – Теляж,1.8,Червоноградський район
С140531,Дунаєць-(Стрий-Журавне),Дунаєць – О141803,2.5,Стрийський район
С140110,Гаї-Смоленські-(Київ-Чоп),Гаї – Смоленські – М-06,2.4,Золочівський район
С140234,Маращанка-(Буськ-Соколя),Маращанка – С140205,1.3,Золочівський район
С141924,Ільник-Радич,Ільник – Радич,5.3,Самбірський район
С140843,Спас-Стрептів,Спас – Стрептів,3.1,Львівський район
С141056,Ваньковичі-Кропильники,Ваньковичі – Кропильники,0.6,Яворівський район
С141723,(Тершів-Лаврів-Грозьова)-Велика Лінина,С141714 – Велика Лінина,2.0,Самбірський район
С140922,Листв'яний-(Ричагів-Мала Горожанка-Вербіж),Листв'яний – С140912,2.2,Стрийський район
С141731,Грабівниця-Комаровичі,Грабівниця – Комаровичі,2.4,Самбірський район
С141317,Руденко-Кустин,Руденко – Кустин,5.4,Червоноградський район
С140523,Садки-Вовчатичі,Садки – Вовчатичі,1.6,Стрийський район
С141605,Ільковичі-Копитів,Ільковичі – Копитів,9.9,Червоноградський район
С140823,Горпин-Великосілки,Горпин – Великосілки,5.7,Львівський район
С140673,Дернівка-(Миколаїв-Бібрка),Дернівка – Т-14-25,0.6,Львівський район
С140658,Липник-Помлинів,Липник – Помлинів,2.8,Львівський район
С141932,Головське-Зубриця,Головське – Зубриця,5.9,Дрогобицький район
С140339,Чуловичі-Кліцько,Чуловичі – Кліцько,5.4,Львівський район
С140803,Кам'янка-Бузька-Прибужани,Кам'янка – Бузька – Прибужани,1.0,Львівський район
С141426,Вільшаник-Трояни,Вільшаник – Трояни,4.9,Самбірський район
С140404,Дрогобич-Дережичі,Дрогобич – Дережичі,2.8,Дрогобицький район
С140539,Дубравка- Тернавка,Дубравка – Тернавка,1.2,Стрийський район
С140835,Рожанка-Батятичі,Рожанка – Батятичі,4.7,Львівський район
С141046,Великі Новосілки-Малі Новосілки,Великі Новосілки – Малі Новосілки,1.8,Яворівський район
С142012,Брожки-Мельники,Брожки – Мельники,10.4,Яворівський район
С140933,Мала Воля-Стільсько,Мала Воля – Стільсько,1.7,Стрийський район
С141239,Сокільники-(Львів-Меденичі),Сокільники – Т-14-16,1.0,Львівський район
С141241,(Київ-Чоп)-Раковець,М-06 – Раковець,1.4,Львівський район
С141017,(Львів-Шегині)-Судова Вишня,М-11 – Судова Вишня,7.1,Яворівський район
С141415,Купновичі-Зарайськ,Купновичі – Зарайськ,9.1,Самбірський район
С140807,Дернів-Цеперів,Дернів – Цеперів,13.4,Львівський район
С141251,Поршна-Підсадки,Поршна – Підсадки,4.1,Львівський район
С140521,Городище-Отиневичі,Городище – Отиневичі,3.7,Стрийський район
С140308,Підмогилки-Годвишня,Підмогилки – Годвишня,1.8,Львівський район
С141107,Лоні-Борщів,Лоні – Борщів,10.6,Львівський район
С140502,Заріччя-Межиріччя,Заріччя – Межиріччя,6.0,Стрийський район
С141737,Засадки-Чаплі,Засадки – Чаплі,4.8,Самбірський район
С140554,Подорожнє-Чертіж,Подорожнє – Чертіж,7.1,Стрийський район
С140535,Корнелівка-Сидорівка,Корнелівка – Сидорівка,5.9,Стрийський район
С140233,Бачка-Переволочна,Бачка – Переволочна,2.0,Золочівський район
С140131,Горбалі-Підгір'я,Горбалі – Підгір'я,1.4,Золочівський район
С140628,Підгородне-Шабельня,Підгородне – Шабельня,3.3,Львівський район
С142049,Принада-Середкевичі,Принада – Середкевичі,1.6,Яворівський район
С141136,Глібовичі-Мивсева,Глібовичі – Мивсева,1.9,Львівський район
С140238,Вербляни-(Київ-Чоп),Вербляни – М-06,1.3,Золочівський район
С141256,Диб'янки-Сердиця,Диб'янки – Сердиця,1.0,Львівський район
С141450,(Нижанковичі-Стрий)-Ралівка,Т-14-18 – Ралівка,1.0,Самбірський район
С140682,Кам'яна Гора-Підкам'яна Гора,Кам'яна Гора – Підкам'яна Гора,1.3,Львівський район
С140230,Леньків-Топорів,Леньків – Топорів,3.0,Золочівський район
С140623,Монастирок-Погарисько,Монастирок – Погарисько,3.8,Львівський район
С140614,Рава-Руська-Магерів,Рава – Руська – Магерів,13.1,Львівський район
С141752,Товарна-Конів,Товарна – Конів,2.0,Самбірський район
С141501,Славське-Опорець,Славське – Опорець,15.7,Стрийський район
С140926,Острів-Держів,Острів – Держів,3.4,Стрийський район
С141624,(Варяж-Белз)-Лешків,С141612 – Лешків,3.6,Червоноградський район
С141514,Орів-Нижня Стинава,Орів – Нижня Стинава,23.4,Дрогобицький район;Стрийський район
С141443,(Рогізно-Бірчиці)-Малі Баранівці,С141401 – Малі Баранівці,1.3,Самбірський район
С140229,Волуйки-Теребежі,Волуйки – Теребежі,1.6,Золочівський район
С141121,Плеників-(Красне-Чемеринці),Плеників – С140206,3.0,Львівський район
С142041,Ясниська-Рокитне,Ясниська – Рокитне,5.2,Яворівський район
С140553,Любша-Мазурівка,Любша – Мазурівка,2.3,Стрийський район
С141029,(Мостиська-Дидятичі)-Добошівка,С141003 – Добошівка,1.2,Яворівський район
С140622,Гута Обединська-Потелич,Гута Обединська – Потелич,6.5,Львівський район
С141016,(Судова Вишня-Комарно)-Дидятичі,О141001 – Дидятичі,1.9,Яворівський район
С141331,(Стремільче-Сморжів)-Загатка,С141314 – Загатка,2.0,Червоноградський район
С140701,Вижняни-Розворяни-Глиняни,Вижняни – Розворяни – Глиняни,8.9,Львівський район
С141645,Княже-Фусів,Княже – Фусів,2.4,Червоноградський район
С140654,Лужки-Борове,Лужки – Борове,1.0,Львівський район
С141333,Стирківці-(Синьків-Стремільче),Стирківці – С141309,1.1,Червоноградський район
С140330,Довжанка-Черляни,Довжанка – Черляни,15.5,Львівський район
С141147,Мазурі-Рубче,Мазурі – Рубче,2.0,Львівський район
С140220,Соколя-Грабова,Соколя – Грабова,7.1,Золочівський район
С141243,Кам'янопіль-(Київ-Чоп),Кам'янопіль – М-06,1.2,Львівський район
С140118,(Накваша-Попівці-Підкамінь)-Дудин,С140135 – Дудин,1.8,Золочівський район
С140806,Ременів-Старий Яричів,Ременів – Старий Яричів,6.1,Львівський район
С141833,Жулин-Танява,Жулин – Танява,7.2,Стрийський район
С140511,Юшківці-Берездівці,Юшківці – Берездівці,11.3,Стрийський район
С140834,Гряда-Незнанів,Гряда – Незнанів,6.0,Червоноградський район
С140329,Зушиці-Воля-Бартатівська,Зушиці – Воля – Бартатівська,11.0,Львівський район
С140707,Заставне-Глиняни,Заставне – Глиняни,5.2,Львівський район
С141041,Буців-Шегині,Буців – Шегині,4.0,Яворівський район
С140827,Великосілки-(Миколаїв-Бібрка),Великосілки – Т-14-25,1.7,Львівський район
