ref,official_name,name,distance,district
С141713,Стрілки-Новий Кропивник,Стрілки – Новий Кропивник,32.5,Дрогобицький район;Самбірський район
С141626,Пісочне-Шихтарі,Пісочне – Шихтарі,6.0,Червоноградський район
С141720,Шумина-Муроване-Тарнавка,Шумина – Муроване – Тарнавка,7.0,Самбірський район
С140844,Новий Став-Честині-(Львів-Луцьк),Новий Став – Честині – Н-17,4.5,Львівський район
С140736,Підлисся-Розваж-Білий Камінь,Підлисся – Розваж – Білий Камінь,9.4,Золочівський район
С141832,Нижня Лукавиця-Горішнє,Нижня Лукавиця – Горішнє,8.1,Стрийський район
С141254,Загір'я-Грабник,Загір'я – Грабник,1.8,Львівський район
С140672,Блищиводи-Смереків,Блищиводи – Смереків,5.3,Львівський район
С141247,Гаї-Звенигород,Гаї – Звенигород,2.0,Львівський район
С141217,Шоломинь-(Старе Село-Коцурів-Затемне),Шоломинь – С141211,10.0,Львівський район
С141110,Березівка-(Куровичі-Рогатин),Березівка – Т-14-17,7.4,Львівський район
С141738,Букова-Ракова,Букова – Ракова,6.1,Самбірський район
С141221,Верхня Білка-Острів,Верхня Білка – Острів,7.1,Львівський район
С142036,(Львів-Краковець)-Вороців,М-10 – Вороців,4.4,Яворівський район
С141801,Довголука-Конюхів,Довголука – Конюхів,9.8,Стрийський район
С141840,Колодниця-Конюхів,Колодниця – Конюхів,2.8,Стрийський район
С141109,Болотня-Рівна,Болотня – Рівна,6.6,Львівський район
С140838,Мазярка-Желдець,Мазярка – Желдець,2.2,Львівський район
С141719,Рожеве-Поляна,Рожеве – Поляна,7.6,Самбірський район
С141516,Славське-Хащованя,Славське – Хащованя,14.4,Стрийський район
С140338,Завидовичі-Зашковичі,Завидовичі – Зашковичі,3.8,Львівський район
С141268,Кротошин-Зубра-(Київ-Чоп),Кротошин – Зубра – М-06,1.1,Львівський район
С140830,Стриганка-Старий Добротвір,Стриганка – Старий Добротвір,4.9,Червоноградський район
С140937,Рудники-(Київ-Чоп),Рудники – М-06,3.6,Стрийський район
С141213,Щирець-Вербіж,Щирець – Вербіж,11.3,Львівський район;Стрийський район
С140664,Геруси-Окопи,Геруси – Окопи,0.1,Львівський район
С142031,(Вербляни-Руда-Краковецька)-Дацки,С142006 – Дацки,2.6,Яворівський район
С140652,Борове-Потелич,Борове – Потелич,2.0,Львівський район
С140516,Квітневе-Бертишів,Квітневе – Бертишів,5.1,Львівський район
С141934,Верхнє-Яворів,Верхнє – Яворів,5.7,Самбірський район
С142030,Воля-Руда,Воля – Руда,1.9,Яворівський район
С140712,Зарваниця-Новоселище-Плугів,Зарваниця – Новоселище – Плугів,16.1,Золочівський район
О141804,Стрий-Меденичі,Стрий – Меденичі,17.8,Дрогобицький район;Стрийський район
С140651,Іванусі-Дячки,Іванусі – Дячки,1.9,Львівський район
С141313,Сушно-Тоболів-Новий Витків,Сушно – Тоболів – Новий Витків,10.0,Червоноградський район
С140704,Глиняни-Перегноїв-Словіта,Глиняни – Перегноїв – Словіта,9.2,Львівський район
С141120,Мазурі-Подусільна,Мазурі – Подусільна,2.4,Львівський район
С140659,Долина-Заглина,Долина – Заглина,3.3,Львівський район
С141264,Львів-Зубра,Львів – Зубра,2.7,Львівський район
С141003,Мостиська-Дидятичі,Мостиська – Дидятичі,14.8,Яворівський район
С140643,Замочок-Діброва,Замочок – Діброва,1.1,Львівський район
С141040,Пісок-Хоросниця-Мистичі,Пісок – Хоросниця – Мистичі,13.7,Яворівський район
С141526,(Нижнє Синьовидне-Кам'янка)-Побук,С141510 – Побук,2.4,Стрийський район
С141656,Лучиці-Ганівка,Лучиці – Ганівка,2.4,Червоноградський район
С141444,(Никловичі-Задністряни)-Чайковичі,С141405 – Чайковичі,1.8,Самбірський район
С140840,Зубів Міст-Батятичі,Зубів Міст – Батятичі,1.2,Львівський район
С140927,Красів-Поляна,Красів – Поляна,15.3,Стрийський район
С140645,(Ковель-Жовква)-Оплітна,Р-15 – Оплітна,1.1,Львівський район
С141939,Нижня Яблунька-Заребро,Нижня Яблунька – Заребро,1.2,Самбірський район
С140419,Локоть-(Турка-Східниця),Локоть – О141902,1.7,Дрогобицький район
С140427,Опори-Летня,Опори – Летня,0.8,Дрогобицький район
С141904,Турка-Ільник,Турка – Ільник,13.7,Самбірський район
С141410,Нагірне-Звір,Нагірне – Звір,16.8,Самбірський район
С141312,Адамівка-Завидче,Адамівка – Завидче,12.5,Червоноградський район
С141452,Глибоч-Трояни,Глибоч – Трояни,1.2,Самбірський район
С141401,Рогізно-Бірчиці,Рогізно – Бірчиці,17.8,Самбірський район
С142045,Добростани-Кертинів,Добростани – Кертинів,1.9,Яворівський район
С140440,(Нижанковичі-Стрий)-Раневичі,Т-14-18 – Раневичі,3.4,Дрогобицький район
С140604,Туринка-Батятичі,Туринка – Батятичі,14.1,Львівський район;Львівський район
С140540,Которини-(Галич-Старе Село),Которини – С140513,1.1,Стрийський район
С140311,Піддолини-Ясенів-Нове Село,Піддолини – Ясенів – Нове Село,4.1,Львівський район
С141657,Тартаків-Копитів,Тартаків – Копитів,2.2,Червоноградський район
С140662,(Львів-Рава-Руська)-станція Лавриків,М-09 – станція Лавриків,0.7,Львівський район
С141131,Кимир-Неділиська,Кимир – Неділиська,4.0,Львівський район
С141025,Закостілля-Липники,Закостілля – Липники,2.3,Яворівський район
С140930,Стільсько-Ілів,Стільсько – Ілів,4.4,Стрийський район
С141759,(Львів-Ужгород)-Спас,Н-13 – Спас,0.9,Самбірський район
С140334,(Дрогобич-Комарно)-Поляна,О140403 – Поляна,2.2,Львівський район
С141010,Мостиська Другі-(Львів-Шегині),Мостиська Другі – М-11,3.2,Яворівський район
С141935,Біньова-Сянки,Біньова – Сянки,3.0,Самбірський район
С140618,Двірці-Туринка,Двірці – Туринка,3.7,Львівський район
С142005,Шкло-Новояворівськ,Шкло – Новояворівськ,4.2,Яворівський район
С141726,Катина-Старява,Катина – Старява,8.0,Самбірський район
С141608,Спасів-Смиків-Княже,Спасів – Смиків – Княже,14.2,Червоноградський район
О140406,Східниця-Верхнє Синьовидне,Східниця – Верхнє Синьовидне,24.2,Дрогобицький район;Стрийський район
С140679,Туринка-Руда,Туринка – Руда,1.2,Львівський район
С141521,Мита-Сухий Потік,Мита – Сухий Потік,2.5,Стрийський район
С141617,(Броди-Червоноград)-Волсвин,Т-14-10 – Волсвин,4.8,Червоноградський район
С140402,Винники-Ступниця,Винники – Ступниця,4.0,Дрогобицький район
С142015,Липники-(Воля-Любинська-Бунів),Липники – С142016,2.4,Яворівський район
С141933,Нижній Турів-Соколики-(Львів-Ужгород),Нижній Турів – Соколики – Н-13,2.5,Самбірський район
С140508,Бережниця-Журавків,Бережниця – Журавків,0.9,Стрийський район
С141703,Старий Самбір-Кобло,Старий Самбір – Кобло,9.0,Самбірський район
С141442,Вербівка-Бісковичі,Вербівка – Бісковичі,10.9,Самбірський район
С140225,Янгелівка-Ожидів,Янгелівка – Ожидів,5.1,Золочівський район
С141327,Оглядів-Гута-Скляна,Оглядів – Гута – Скляна,5.6,Червоноградський район
С141250,(Давидів-Товщів-Бібрка)-Черепин,С141212 – Черепин,2.0,Львівський район
С140547,Вибранівка-Отиневичі,Вибранівка – Отиневичі,17.7,Стрийський район
С140910,Колодруби-Мала Горожанка,Колодруби – Мала Горожанка,4.8,Стрийський район
С140829,Тишиця-Старий Добротвір,Тишиця – Старий Добротвір,4.2,Червоноградський район
С141436,Вощанці-Острів,Вощанці – Острів,10.0,Самбірський район
С140119,Конюшків-Берлин,Конюшків – Берлин,5.3,Золочівський район
С142050,Грушів-(Грушів-Немирів),Грушів – Т-14-03,3.2,Яворівський район
С141117,Лани-Гончарів,Лани – Гончарів,1.8,Львівський район
С141232,Журавники-Тарасівка,Журавники – Тарасівка,8.4,Львівський район
С140114,(Київ-Чоп)-Дітківці,М-06 – Дітківці,1.7,Золочівський район
О141604,Червоноград-Перетоки,Червоноград – Перетоки,27.7,Червоноградський район
С140437,Вороблевичі-Рихтичі,Вороблевичі – Рихтичі,12.1,Дрогобицький район
С142026,Шкло-Стадники,Шкло – Стадники,3.0,Яворівський район
С141319,Барилів-(Синьків-Стремільче),Барилів – С141309,3.7,Червоноградський район
О141002,Нагірне-Добромиль,Нагірне – Добромиль,42.1,Самбірський район;Яворівський район
С141033,Зав'язанці-Костильники,Зав'язанці – Костильники,3.5,Яворівський район
С141938,Міжгір'я-Буковинка,Міжгір'я – Буковинка,5.2,Самбірський район
С140743,Стінка-Гологірки,Стінка – Гологірки,2.4,Золочівський район
С141211,Старе Село-Коцурів-Затемне,Старе Село – Коцурів – Затемне,24.8,Львівський район
С140133,Гримайлівка-Комарівка-Лешнів,Гримайлівка – Комарівка – Лешнів,20.1,Золочівський район
С141035,Малі Мокряни-Макунів-Берці,Малі Мокряни – Макунів – Берці,6.1,Яворівський район
С141438,Вістовичі-(Львів-Ужгород),Вістовичі – Н-13,2.4,Самбірський район
С141308,Радехів-Станин-Павлів,Радехів – Станин – Павлів,14.4,Червоноградський район
С141834,Лани Соколівські-Малі Дідушичі,Лани Соколівські – Малі Дідушичі,5.0,Стрийський район
С141930,Ясениця-Ясенка-Стецьова,Ясениця – Ясенка – Стецьова,5.0,Самбірський район
С141652,Бутини-Шишаки,Бутини – Шишаки,1.2,Червоноградський район
С140141,Висоцьке-Гаї,Висоцьке – Гаї,20.3,Золочівський район
С140120,(Броди-Червоноград)-Мідне,Т-14-10 – Мідне,2.9,Золочівський район
С140504,Жидачів-Рогізно-Бережниця,Жидачів – Рогізно – Бережниця,7.8,Стрийський район
С141423,(Страшевичі-Задністря)-Чуква,С141751 – Чуква,2.9,Самбірський район
С140916,Київець-Більче-Волиця,Київець – Більче – Волиця,8.5,Стрийський район
С140242,Дунів-Кудир'явці,Дунів – Кудир'явці,1.0,Золочівський район
С140306,Городок-Зелений Гай,Городок – Зелений Гай,23.5,Львівський район
С141316,Сабанівка-Тетевчиці,Сабанівка – Тетевчиці,4.0,Червоноградський район
С141612,Варяж-Белз,Варяж – Белз,14.6,Червоноградський район
С140148,Дубина-Тріщуки,Дубина – Тріщуки,1.3,Золочівський район
С141114,Мерещів-Малий Полюхів,Мерещів – Малий Полюхів,9.5,Львівський район
С140109,Глушин-(Київ-Чоп),Глушин – М-06,2.0,Золочівський район
С141623,Перемисловичі-Цеблів,Перемисловичі – Цеблів,1.6,Червоноградський район
С140316,Лісновичі-Речичани,Лісновичі – Речичани,4.5,Львівський район
С141015,Малнів-Піхи-Мартини-Малнів,Малнів – Піхи – Мартини – Малнів,12.9,Яворівський район
С140410,Летня-Коросниця,Летня – Коросниця,1.4,Дрогобицький район
С140318,Бар-Коців,Бар – Коців,7.0,Львівський район
О140401,Дрогобич-Довголука,Дрогобич – Довголука,19.6,Дрогобицький район;Стрийський район
С141012,Шегині-Циків,Шегині – Циків,15.8,Яворівський район
С140801,Кам'янка-Бузька-Руда-Сілецька,Кам'янка – Бузька – Руда – Сілецька,9.8,Львівський район
С142018,Липовець-Дрогомишль,Липовець – Дрогомишль,3.5,Яворівський район
С140147,Комарівка-Антося,Комарівка – Антося,0.9,Золочівський район
С140105,Лучківці-Дуб'є-Дубина,Лучківці – Дуб'є – Дубина,7.7,Золочівський район
С140320,(Львів-Шегині)-Шанова-Керпин,М-11 – Шанова – Керпин,5.8,Львівський район
О141102,Перемишляни-Чемеринці-Плугів,Перемишляни – Чемеринці – Плугів,46.9,Золочівський район;Львівський район
С141914,(Львів-Ужгород)-Розлуч,Н-13 – Розлуч,1.2,Самбірський район
С141014,Хідновичі-Боратичі,Хідновичі – Боратичі,3.3,Яворівський район
С140145,Паликорови-Кутище-Яснище,Паликорови – Кутище – Яснище,9.4,Золочівський район
С140209,(Буськ-Вузлове)-Тур'я,О140203 – Тур'я,17.2,Золочівський район
С141206,Пустомити-Семенівка,Пустомити – Семенівка,7.9,Львівський район
С140537,Старе Село-Тернавка,Старе Село – Тернавка,7.0,Стрийський район
С141301,Радехів-Ганунин,Радехів – Ганунин,1.4,Червоноградський район
С140434,Добрівляни-Ролів,Добрівляни – Ролів,6.9,Дрогобицький район
С140425,Лужок-(Нижанковичі-Стрий),Лужок – Т-14-18,3.6,Дрогобицький район
С140138,Пониква-Шишківці-Батьків,Пониква – Шишківці – Батьків,25.6,Золочівський район
С140621,Зіболки-Артасів,Зіболки – Артасів,4.9,Львівський район
С140842,Нова Лодина-Соколів,Нова Лодина – Соколів,7.8,Львівський район
С140532,Лапшин-(Голешів-Луковець),Лапшин – С140529,1.0,Стрийський район
С140236,Лабач-Соколівка,Лабач – Соколівка,0.8,Золочівський район
С141802,Голобутів-Завадів-Нежухів,Голобутів – Завадів – Нежухів,6.8,Стрийський район
С141761,Тиха-Мшанець,Тиха – Мшанець,8.9,Самбірський район
С141922,(Турка-Східниця)-Стоділка,О141902 – Стоділка,0.6,Самбірський район
С140243,Бажани-Тур'я,Бажани – Тур'я,1.3,Золочівський район
С141227,Ставчани-Щирець,Ставчани – Щирець,18.8,Львівський район
С140648,Великі Передримихи-Артасів,Великі Передримихи – Артасів,5.2,Львівський район
С141508,Тухля-Либохора,Тухля – Либохора,7.0,Стрийський район
С140107,Пониковиця-Косарщина,Пониковиця – Косарщина,2.6,Золочівський район
С141530,(Київ-Чоп)-Долинівка,М-06 – Долинівка,1.5,Стрийський район
С141324,Раковище-Вузлове,Раковище – Вузлове,6.5,Червоноградський район
С141507,Хітар-Тухля,Хітар – Тухля,25.1,Стрийський район
С141740,Тершів-Сушиця,Тершів – Сушиця,4.5,Самбірський район
С142006,Вербляни-Руда-Краковецька,Вербляни – Руда – Краковецька,27.0,Яворівський район
С141503,(Київ-Чоп)-Сколе,М-06 – Сколе,3.5,Стрийський район
С141644,Вербове-Жужеляни,Вербове – Жужеляни,5.5,Червоноградський район
С140811,Колоденці-Старий Яричів,Колоденці – Старий Яричів,12.0,Львівський район
С140642,Мокротин-Журі,Мокротин – Журі,3.7,Львівський район
С141255,Старе Село-Будьків,Старе Село – Будьків,3.1,Львівський район
С141633,Музей Лопатіна-Скоморохи,Музей Лопатіна – Скоморохи,0.5,Червоноградський район
С140613,Грядка-Городжів,Грядка – Городжів,16.2,Львівський район
С140708,Червоне-Княже-Ясенівці,Червоне – Княже – Ясенівці,7.7,Золочівський район
С142047,Мельники-Колодки,Мельники – Колодки,1.5,Яворівський район
С141446,(Дроздовичі-Міженець-Бісковичі)-Заріччя,С141711 – Заріччя,3.6,Самбірський район
С140524,Кам'яне-Буковина,Кам'яне – Буковина,10.9,Стрийський район
С141005,Крисовичі-Липники,Крисовичі – Липники,5.0,Яворівський район
С140685,(Львів-Рава-Руська)-Жовква,М-09 – Жовква,1.6,Львівський район
С141718,Болозів-Вовча,Болозів – Вовча,3.2,Самбірський район
С140646,Малі Грибовичі-Великі Грибовичі,Малі Грибовичі – Великі Грибовичі,6.3,Львівський район
С141434,Велика Білина-Велика Хвороща,Велика Білина – Велика Хвороща,2.7,Самбірський район
С141013,Крисовичі-Княгиничі,Крисовичі – Княгиничі,22.0,Яворівський район
С141266,Жирівка-Зубра-(Київ-Чоп),Жирівка – Зубра – М-06,2.3,Львівський район
С140744,(Львів-Тернопіль)-Печенія,Н-02 – Печенія,1.0,Львівський район
С140407,Зимівки-Уличне,Зимівки – Уличне,8.0,Дрогобицький район
С141905,Турка-(Львів-Ужгород),Турка – Н-13,6.6,Самбірський район
С140841,Желдець-Високофедорівка,Желдець – Високофедорівка,2.5,Львівський район
С141332,Торки-Ордів,Торки – Ордів,7.9,Червоноградський район
С140430,Трускавець-Стебник,Трускавець – Стебник,1.4,Дрогобицький район
С141204,Львів-Сокільники,Львів – Сокільники,3.5,Львівський район
С140721,Гологори-Майдан-Гологірський,Гологори – Майдан – Гологірський,5.4,Золочівський район
С141020,(Нагірне-Добромиль)-Храптичі,О141002 – Храптичі,1.3,Яворівський район
С140631,Синьковичі-Кушти,Синьковичі – Кушти,1.5,Львівський район
С141235,Острів-Чижиків,Острів – Чижиків,2.3,Львівський район
О141602,Сокаль-Стоянів,Сокаль – Стоянів,38.3,Червоноградський район
С141903,Нижнє Висоцьке-Карпатське,Нижнє Висоцьке – Карпатське,15.3,Самбірський район
С140134,Лукавець-Маркопіль,Лукавець – Маркопіль,10.8,Золочівський район
С140903,Миколаїв-Хоросно,Миколаїв – Хоросно,13.1,Стрийський район
С141839,Олексичі-Лотатники,Олексичі – Лотатники,4.5,Стрийський район
С142011,Підлуби-Молошковичі,Підлуби – Молошковичі,6.0,Яворівський район
С140420,Котовань-Ступниця,Котовань – Ступниця,3.5,Дрогобицький район
С141230,(Київ-Чоп)-Гамаліївка,М-06 – Гамаліївка,1.2,Львівський район
С141655,(Сокаль-Червоноград)-Жвирка,О141607 – Жвирка,1.2,Червоноградський район
С141621,Заболоття-(Червоноград-Рава-Руська),Заболоття – Р-15,1.9,Червоноградський район
С141707,Скелівка-Надиби,Скелівка – Надиби,10.5,Самбірський район
С141435,Подільці-Задністряни-Сусолів,Подільці – Задністряни – Сусолів,7.9,Самбірський район
С141246,Дібрівки-Ставчани,Дібрівки – Ставчани,1.6,Львівський район
С141622,Низи-(Белз-Великі Мости),Низи – О141605,2.5,Червоноградський район
С140218,Полоничі-Богданівка,Полоничі – Богданівка,4.7,Золочівський район
С140305,Городок-Угри,Городок – Угри,6.7,Львівський район
С141454,Лукавиця-Лопушно,Лукавиця – Лопушно,3.1,Самбірський район
С141115,Вільховець-Гута,Вільховець – Гута,7.4,Львівський район
С141757,Морозовичі-(Львів-Ужгород),Морозовичі – Н-13,0.5,Самбірський район
С141620,Заставне-(Червоноград-Рава-Руська),Заставне – Р-15,1.1,Червоноградський район
С140546,Березина-Ходорківці,Березина – Ходорківці,12.8,Львівський район;Стрийський район
С141205,Пустомити-Поршна,Пустомити – Поршна,4.0,Львівський район
С141104,Перемишляни-Чуперносів-Ушковичі,Перемишляни – Чуперносів – Ушковичі,3.5,Львівський район
С141522,Сопіт-Підгородці,Сопіт – Підгородці,4.9,Стрийський район
С140337,Попелі-Градівка,Попелі – Градівка,10.5,Львівський район
С140206,Красне-Чемеринці,Красне – Чемеринці,33.5,Золочівський район;Львівський район
С140684,(Немирів-Добросин)-станція Добросин,С142009 – станція Добросин,2.0,Львівський район
С140111,(Київ-Чоп)-Гаї-Суходільські,М-06 – Гаї – Суходільські,1.5,Золочівський район
С140934,(Тростянець-Стільсько-Розділ)-Велика Воля,С140909 – Велика Воля,2.2,Стрийський район
О141407,Калинів-Дубляни-Волоща,Калинів – Дубляни – Волоща,28.7,Дрогобицький район;Самбірський район
С140520,Бориниці-Дроховичі,Бориниці – Дроховичі,3.2,Стрийський район
С140319,Вовчухи-Долиняни,Вовчухи – Долиняни,3.2,Львівський район
С140323,Коропуж-Романівка,Коропуж – Романівка,5.1,Львівський район
С141654,Реклинець-Стремінь,Реклинець – Стремінь,3.0,Червоноградський район
С141609,Іваничі-Перетоки,Іваничі – Перетоки,3.2,Червоноградський район
С141340,Старий Майдан-(Пустельники-Нивиці),Старий Майдан – С141328,1.2,Червоноградський район
С140501,Дем'янка-Лісна-Іванівці,Дем'янка – Лісна – Іванівці,5.3,Стрийський район
С141926,Головське-Лімна,Головське – Лімна,1.0,Самбірський район
С141614,(Варяж-Белз)-Себечів-Муроване,С141612 – Себечів – Муроване,8.6,Червоноградський район
С140640,Добросин-Кочмарі,Добросин – Кочмарі,0.7,Львівський район
С141942,Буковинка-Дівче,Буковинка – Дівче,2.4,Самбірський район
С140422,Воля-Якубова-Залужани,Воля – Якубова – Залужани,3.7,Дрогобицький район
С141819,Конюхів-Гірне,Конюхів – Гірне,5.6,Стрийський район
С140917,Липиці-Колодруби,Липиці – Колодруби,1.7,Стрийський район
С140749,(Гологори-Майдан-Гологірський)-Кіндратів,С140721 – Кіндратів,1.2,Золочівський район
С141402,Садковичі-Чернихів,Садковичі – Чернихів,18.7,Самбірський район
С141135,Великі Глібовичі-Вибранівка,Великі Глібовичі – Вибранівка,6.7,Львівський район
С141628,Великі Мости-Борове,Великі Мости – Борове,4.2,Червоноградський район
С141049,Хатки-(Крисовичі-Княгиничі),Хатки – С141013,1.0,Яворівський район
С140239,(Київ-Чоп)-Старий Милятин,М-06 – Старий Милятин,1.9,Золочівський район
С140602,Думичі-Панчишини,Думичі – Панчишини,11.3,Львівський район
С141144,Свірж-Задубина,Свірж – Задубина,1.4,Львівський район
С140505,Заболотівці-Бортники,Заболотівці – Бортники,11.9,Стрийський район
С141729,Терло-Максимівка,Терло – Максимівка,4.1,Самбірський район
С140606,Нова Кам'янка-Бишків,Нова Кам'янка – Бишків,5.4,Львівський район
С140817,Вихопні-Колоденці,Вихопні – Колоденці,3.9,Львівський район
С141259,Милошевичі-Береги-Хоросно,Милошевичі – Береги – Хоросно,5.6,Львівський район
С141944,Нижня Яблунька-Турка,Нижня Яблунька – Турка,5.7,Самбірський район
О140901,Розділ-Жирова,Розділ – Жирова,20.1,Стрийський район
С141735,Грушатичі-Дешичі,Грушатичі – Дешичі,5.3,Самбірський район
С141636,Тудорковичі-Войславичі,Тудорковичі – Войславичі,4.3,Червоноградський район
С141419,Самбір-(Мостиська-Борислав),Самбір – Т-14-15,0.7,Самбірський район
С141051,Вовчищовичі-Мала Діброва,Вовчищовичі – Мала Діброва,5.2,Яворівський район
С141414,Звір-Лукавиця,Звір – Лукавиця,10.1,Самбірський район
С140245,Йосипівка-Хватів,Йосипівка – Хватів,6.7,Золочівський район
С141520,(Климець-Лавочне-Тухолька)-Жупани,С141506 – Жупани,2.6,Стрийський район
С141639,Гатківка-Савчин,Гатківка – Савчин,8.1,Червоноградський район
С141823,Лисятичі-Кути,Лисятичі – Кути,2.9,Стрийський район
С141702,Терло-Стрільбичі,Терло – Стрільбичі,26.2,Самбірський район
С140660,Липник-Луцики,Липник – Луцики,0.1,Львівський район
С141037,(Судова Вишня-Комарно)-Кути,О141001 – Кути,1.6,Яворівський район
С141601,Угнів-Домашів,Угнів – Домашів,8.1,Червоноградський район
С140549,Демидів-Добрівляни,Демидів – Добрівляни,2.1,Стрийський район
С141755,Поляна-Сливниця,Поляна – Сливниця,2.6,Самбірський район
С141208,Пустомити-Оброшине,Пустомити – Оброшине,5.3,Львівський район
С140637,Козулька-Крехів,Козулька – Крехів,1.7,Львівський район
С140217,Сторонибаби-Красне,Сторонибаби – Красне,1.0,Золочівський район
С142044,Солуки-Паланки,Солуки – Паланки,1.4,Яворівський район
С141244,Гаї-Підсоснів,Гаї – Підсоснів,6.5,Львівський район
С141258,Милошевичі-Хоросно,Милошевичі – Хоросно,3.5,Львівський район
С141420,(Львів-Ужгород)-Ваньовичі,Н-13 – Ваньовичі,4.9,Самбірський район
С140677,Збиранка-Голоско,Збиранка – Голоско,1.4,Львівський район
С141203,Львів-Сухоріччя,Львів – Сухоріччя,16.7,Львівський район
С140331,Великий Любінь-Комарно,Великий Любінь – Комарно,13.6,Львівський район
С140235,Сокіл-Соколівка,Сокіл – Соколівка,3.2,Золочівський район
С141403,Мала Білина-Озерне,Мала Білина – Озерне,7.3,Самбірський район
С141036,Дмитровичі-Заріччя,Дмитровичі – Заріччя,2.0,Яворівський район
С140115,Суховоля-Бучина,Суховоля – Бучина,5.8,Золочівський район
С141809,Слобідка-Журавне,Слобідка – Журавне,37.0,Стрийський район
С140103,Броди-Лагодів,Броди – Лагодів,8.7,Золочівський район
С142008,Дрогомишль-Свидниця,Дрогомишль – Свидниця,5.3,Яворівський район
С140661,Боянець-Верени,Боянець – Верени,5.6,Червоноградський район
С140104,Броди-Бовдури,Броди – Бовдури,12.7,Золочівський район
С140624,Кам'яна Гора-(Рава-Руська-Магерів),Кам'яна Гора – С140614,2.0,Львівський район
С141918,Штуковець-Яблунів,Штуковець – Яблунів,2.3,Самбірський район
С141038,Малнів-Загорби,Малнів – Загорби,2.9,Яворівський район
С140121,Ковпин-Ставок-Пониковиця,Ковпин – Ставок – Пониковиця,2.2,Золочівський район
С140754,Хильчиці-Комбікормовий завод,Хильчиці – Комбікормовий завод,0.3,Золочівський район
С141315,Павлів-Вузлове,Павлів – Вузлове,4.3,Червоноградський район
С140108,Білявці-(Броди-Сморжів),Білявці – О140101,1.7,Золочівський район
С141756,Чаплі-Райнова,Чаплі – Райнова,3.9,Самбірський район
С141129,Виписки-Ладанці,Виписки – Ладанці,4.0,Львівський район
С141007,Великі Мокряни-Купновичі,Великі Мокряни – Купновичі,0.7,Яворівський район
С140734,Підлипці-Кам'янисте,Підлипці – Кам'янисте,2.3,Золочівський район
С140935,(Львів-Меденичі)-Гірське-Криниця,Т-14-16 – Гірське – Криниця,8.1,Стрийський район
С141742,Бачина-Морозовичі,Бачина – Морозовичі,5.4,Самбірський район
С140666,(Немирів-Добросин)-Бірки,С142009 – Бірки,1.8,Львівський район
С140336,Тучапи-Родатичі,Тучапи – Родатичі,5.2,Львівський район
С141838,Баня-Лисовицька-Лисовичі,Баня – Лисовицька – Лисовичі,4.6,Стрийський район
С141127,Підмонастир-Волощина,Підмонастир – Волощина,4.8,Львівський район
С140517,Закривець-Трибоківці,Закривець – Трибоківці,4.0,Львівський район
С141202,Рудно-Західний обхід м.Львова,Рудно – Західний обхід м.Львова,0.5,Львівський район
С140541,Монастирець-Протеси,Монастирець – Протеси,9.6,Стрийський район
С141524,Зимівки-Орів,Зимівки – Орів,4.8,Дрогобицький район
С141113,Вовків-Білка,Вовків – Білка,4.0,Львівський район
С141214,Щирець-Красів,Щирець – Красів,10.7,Львівський район;Стрийський район
С141052,Гусаків-Радохинці,Гусаків – Радохинці,7.2,Яворівський район
С140301,Яремків-Вишня,Яремків – Вишня,3.6,Самбірський район
С142040,Великі Гори-Буда,Великі Гори – Буда,2.6,Яворівський район
С140833,Мазарня-Каранська -Незнанів,Мазарня – Каранська – Незнанів,2.3,Червоноградський район
С141201,Яструбків-Щирець,Яструбків – Щирець,6.4,Львівський район
С141630,Борятин-Добрячин,Борятин – Добрячин,4.4,Червоноградський район
С142043,(Львів-Краковець)-Солуки,М-10 – Солуки,0.8,Яворівський район
С141714,Тершів-Лаврів-Грозьова,Тершів – Лаврів – Грозьова,24.0,Самбірський район
С140140,Шишківці-Вербівчик,Шишківці – Вербівчик,8.5,Золочівський район
С140326,Бартатів-Кушнері,Бартатів – Кушнері,2.1,Львівський район
С141837,Семигинів-Смоляний,Семигинів – Смоляний,9.0,Стрийський район
С140636,Цитуля-Руда-Крехівська,Цитуля – Руда – Крехівська,2.2,Львівський район
С140735,Руда-Кам'янисте,Руда – Кам'янисте,1.7,Золочівський район
С140920,Коросниця-Більче,Коросниця – Більче,1.0,Стрийський район
С140443,(Трускавець-Стебник)-Станиля,С140430 – Станиля,1.8,Дрогобицький район
С141911,Сянки-(Львів-Ужгород),Сянки – Н-13,1.3,Самбірський район
С140742,(Львів-Тернопіль)-Новосілки,Н-02 – Новосілки,1.3,Золочівський район
С140408,Волоща-Зади,Волоща – Зади,1.0,Дрогобицький район
С140403,Дрогобич-Снятинка,Дрогобич – Снятинка,1.9,Дрогобицький район
С141234,Скнилів-Басівка,Скнилів – Басівка,4.6,Львівський район
